2.522,15.47,15.47,15.47,15.47,15.47,15.47,15.47,15.47,15.47,15.47
0,12.99,12.99,12.99,12.99,12.99,12.99,12.99,12.99,12.99,12.99
16.679576,16.679576,16.679576,16.679576,16.679576,16.679576,16.679576,16.679576,16.679576,16.679576,16.679576
9.124953258,1.617659352,1.617659352,1.617659352,1.617659352,1.617659352,1.617659352,1.617659352,1.617659352,1.617659352,1.617659352
6.112,6.112,6.112,6.112,6.112,6.112,6.112,6.112,6.112,6.112,6.112
4.298864,4.298864,4.298864,4.298864,4.298864,4.298864,4.298864,4.298864,4.298864,4.298864,4.298864
0.775,0.775,0.775,0.775,0.775,0.775,0.775,0.775,0.775,0.775,0.775
0,14.48064011,6.454072348,5.552473968,4.584767488,6.41369979,4.079031288,4.767478488,5.002049243,4.435972688,5.960533023
0,0.064,0.056,0.976,1.096,1.096,2.192,2.192,3.288,3.288,3.288
0,5.825285,7.349553,10.613667,14.054234,17.391383,20.889443,24.596467,27.902543,31.31287,34.989476
