4.355,0.0034,61845.6,0.25,1,1,8,17,26,34,43,52,60,69,78,86,95,104,112,121,130,138,147,156,164,173,182,190,199,208,216,2,10,19,28,36,45,54,62,71,80,88,97,106,114,123,132,140,149,158,166,175,184,192,201,210,218
28.668,0.02945,296701.2,6,1,1,2,1,1,1,1,2,1,1,2,3,3,4,4,5,5,5,6,6,6,7,7,7,8,8,9,2,4,3,3,3,3,4,3,3,4,5,5,6,6,7,7,7,8,8,8,9,9,9,10,10,11
34.247,0.03115,138408,,1,1,3,2,1,2,1,2,2,2,3,2,3,2,3,3,3,3,4,3,4,3,4,4,5,4,4,2,5,4,3,4,3,4,4,4,5,4,5,4,5,5,5,5,6,5,6,5,6,6,7,6,6
48.172,0.03115,98112,10,1,1,3,2,2,2,2,3,2,3,3,3,4,3,4,4,4,4,5,4,5,5,5,6,5,6,6,2,5,4,4,4,4,5,4,5,5,5,6,5,6,6,6,6,7,6,7,7,7,8,7,8,8
42.638,0.06485,47479.2,4.17,1,1,4,3,3,4,3,5,4,5,5,6,6,7,7,7,8,8,8,9,9,10,10,11,11,11,12,2,6,5,5,6,5,7,6,7,7,8,8,9,9,9,10,10,10,11,11,12,12,13,13,13,14
47.084,0.08383,103280.4,7.72,1,1,3,2,2,2,2,2,3,2,3,3,4,3,3,4,4,4,5,4,5,4,6,5,5,6,5,2,5,4,4,4,4,4,5,4,5,5,6,5,5,6,6,6,7,6,7,6,8,7,7,8,7
17.963,0.01015,144540,1,1,1,3,3,6,8,10,13,15,17,19,21,23,26,28,30,32,34,36,39,41,43,45,47,49,52,54,2,5,5,8,10,12,15,17,19,21,23,25,28,30,32,34,36,38,41,43,45,47,49,51,54,56
10.886,0.00453,156200,15.29,1,1,3,1,2,1,2,2,1,2,2,3,2,2,3,2,3,3,3,3,3,4,3,4,4,4,4,2,5,3,4,3,4,4,3,4,4,5,4,4,5,4,5,5,5,5,5,6,5,6,6,6,6
5.58,0.03,129700,10,1,1,3,2,1,2,2,2,2,2,2,3,3,2,3,3,4,3,4,3,4,4,4,4,5,4,5,2,5,4,3,4,4,4,4,4,4,5,5,4,5,5,6,5,6,5,6,6,6,6,7,6,7
39.916,0.17842,32900,,1,1,5,4,4,4,5,5,7,6,8,7,9,9,9,10,11,11,12,13,13,13,14,15,15,16,16,2,7,6,6,6,7,7,9,8,10,9,11,11,11,12,13,13,14,15,15,15,16,17,17,18,18
42.638,0.08496,77100,,2,2,5,3,3,4,5,5,5,6,6,7,7,8,8,9,9,10,11,10,11,12,12,13,13,14,14,4,9,7,7,8,9,9,9,10,10,11,11,12,12,13,13,14,15,14,15,16,16,17,17,18,18
3.311,0.0085,242700,,2,2,3,2,1,2,2,2,2,3,2,3,3,3,3,3,3,4,4,4,4,4,4,5,4,5,5,4,7,6,5,6,6,6,6,7,6,7,7,7,7,7,7,8,8,8,8,8,8,9,8,9,9
5.579,0.02549,129700,10,1,1,3,2,1,2,2,2,2,2,2,3,3,2,3,3,4,3,4,3,4,4,4,4,5,4,5,2,5,4,3,4,4,4,4,4,4,5,5,4,5,5,6,5,6,5,6,6,6,6,7,6,7
2.722,0.00566,2270000,,2,2,2,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,1,0,1,1,0,1,1,1,0,4,6,4,5,4,5,4,5,4,5,4,5,4,5,5,4,5,5,4,5,5,4,5,5,5,4
3.039,0.0017,117000,10.61,6,6,7,4,6,7,7,9,9,11,11,13,13,14,16,16,17,18,19,21,21,22,23,24,25,26,27,12,19,16,18,19,19,21,21,23,23,25,25,26,28,28,29,30,31,33,33,34,35,36,37,38,39
42.638,0.08496,77100,2.28,2,2,5,3,3,4,5,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,38,40,42,44,46,4,9,7,7,8,9,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,42,44,46,48,50
49.71,0.39329,832600,,4,4,3,1,1,1,2,1,2,1,2,2,1,2,2,2,3,2,2,3,2,3,3,3,2,3,4,8,11,9,9,9,10,9,10,9,10,10,9,10,10,10,11,10,10,11,10,11,11,11,10,11,12
4.037,0.01728,2350000,,8,8,2,1,1,1,2,1,1,1,1,2,1,2,1,2,1,2,2,2,2,2,2,2,2,2,3,16,18,17,17,17,18,17,17,17,17,18,17,18,17,18,17,18,18,18,18,18,18,18,18,18,19
0.454,0.00016,1250000,,4,4,2,1,1,1,1,1,2,1,1,1,2,1,2,1,2,1,2,2,2,1,2,2,3,2,2,8,10,9,9,9,9,9,10,9,9,9,10,9,10,9,10,9,10,10,10,9,10,10,11,10,10
0.635,0.00057,1140000,,8,8,3,1,2,2,1,2,2,2,2,3,2,3,3,2,3,3,4,3,4,3,4,4,4,4,5,16,19,17,18,18,17,18,18,18,18,19,18,19,19,18,19,19,20,19,20,19,20,20,20,20,21
25.31,0.13088,333000,,4,4,4,2,2,2,2,3,3,3,4,3,4,4,4,5,4,5,6,5,6,5,7,6,6,7,7,8,12,10,10,10,10,11,11,11,12,11,12,12,12,13,12,13,14,13,14,13,15,14,14,15,15
0.476,0,1250000,15,4,4,2,1,1,1,1,1,2,1,2,4,4,4,4,8,8,8,8,8,8,8,12,12,12,12,12,8,10,9,9,9,9,9,10,9,10,12,12,12,12,16,16,16,16,16,16,16,20,20,20,20,20
7.453,0.00708,32900,,8,8,15,15,20,24,29,34,38,43,47,52,56,62,65,71,75,79,85,89,93,98,103,107,112,116,121,16,31,31,36,40,45,50,54,59,63,68,72,78,81,87,91,95,101,105,109,114,119,123,128,132,137
0.263,0.00142,37600000,,16,16,1,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,32,33,33,32,33,32,32,33,32,32,33,32,32,33,32,33,32,32,33,32,33,32,32,33,32,33
11.93,0.05829,131000,5,8,8,7,6,6,8,8,13,24,24,24,32,32,40,40,48,48,48,56,56,64,64,72,72,72,80,80,16,23,22,22,24,24,29,40,40,40,48,48,56,56,64,64,64,72,72,80,80,88,88,88,96,96
0.635,0.00057,1140000,,8,8,3,1,2,2,1,2,2,2,2,3,2,3,3,2,3,3,4,3,4,3,4,4,4,4,5,16,19,17,18,18,17,18,18,18,18,19,18,19,19,18,19,19,20,19,20,19,20,20,20,20,21
92.761,0.14217,142525.2,2,1,1,3,1,2,4,5,6,7,8,9,10,11,13,14,15,16,17,18,19,20,21,22,23,24,26,27,2,5,3,4,6,7,8,9,10,11,12,13,15,16,17,18,19,20,21,22,23,24,25,26,28,29
23.088,0.0286,27331.2,2.4,1,1,6,3,5,5,6,6,7,8,9,9,10,10,12,12,12,14,14,15,15,16,17,18,18,19,19,2,8,5,7,7,8,8,9,10,11,11,12,12,14,14,14,16,16,17,17,18,19,20,20,21,21
47.583,0.07307,90140.4,4,1,1,4,1,2,3,2,2,3,3,3,4,3,6,7,7,8,8,9,9,10,10,11,11,12,13,13,2,6,3,4,5,4,4,5,5,5,6,5,8,9,9,10,10,11,11,12,12,13,13,14,15,15
49.08,0.11583,181507.2,2,1,1,3,1,2,4,5,6,7,8,9,10,11,13,14,15,16,17,18,19,20,21,22,23,24,26,27,2,5,3,4,6,7,8,9,10,11,12,13,15,16,17,18,19,20,21,22,23,24,25,26,28,29
15.377,0.1011,199640.4,0.08,1,1,27,54,81,108,135,162,189,216,244,271,298,325,352,379,406,433,460,488,515,542,569,596,623,650,677,2,29,56,83,110,137,164,191,218,246,273,300,327,354,381,408,435,462,490,517,544,571,598,625,652,679
16.783,0.02294,384651.6,1,1,1,2,4,6,8,10,13,15,17,19,21,23,26,28,30,32,34,36,39,41,43,45,47,49,52,54,2,4,6,8,10,12,15,17,19,21,23,25,28,30,32,34,36,38,41,43,45,47,49,51,54,56
67.042,0.11555,25579.2,2.25,1,1,6,4,4,6,6,7,7,9,9,9,11,11,12,13,13,14,15,16,16,17,18,19,19,20,21,2,8,6,6,8,8,9,9,11,11,11,13,13,14,15,15,16,17,18,18,19,20,21,21,22,23
39.146,0.06599,84008.4,1,1,1,4,2,6,8,10,13,15,17,19,21,23,26,28,30,32,34,36,39,41,43,45,47,49,52,54,2,6,4,8,10,12,15,17,19,21,23,25,28,30,32,34,36,38,41,43,45,47,49,51,54,56
13.018,0.01728,296701.2,0.16,1,1,13,27,40,54,67,81,94,108,122,135,149,162,176,189,203,216,230,244,257,271,284,298,311,325,338,2,15,29,42,56,69,83,96,110,124,137,151,164,178,191,205,218,232,246,259,273,286,300,313,327,340
5.761,0.00651,143488.8,1,1,1,3,3,6,8,10,13,15,17,19,21,23,26,28,30,32,34,36,39,41,43,45,47,49,52,54,2,5,5,8,10,12,15,17,19,21,23,25,28,30,32,34,36,38,41,43,45,47,49,51,54,56
149.234,0.0657,296701.2,0.36,1,1,6,12,18,24,30,36,42,48,54,60,66,72,78,84,90,96,102,108,114,120,126,132,138,144,150,2,8,14,20,26,32,38,44,50,56,62,68,74,80,86,92,98,104,110,116,122,128,134,140,146,152
149.234,0.0657,296701.2,0.36,1,1,6,12,18,24,30,36,42,48,54,60,66,72,78,84,90,96,102,108,114,120,126,132,138,144,150,2,8,14,20,26,32,38,44,50,56,62,68,74,80,86,92,98,104,110,116,122,128,134,140,146,152
32.251,0.07165,717356.4,0.22,1,1,9,19,29,39,49,59,69,78,88,98,108,118,128,138,147,157,167,177,187,197,207,216,226,236,246,2,11,21,31,41,51,61,71,80,90,100,110,120,130,140,149,159,169,179,189,199,209,218,228,238,248
