4,6,8,10,13,16,19,22,26,30,34,38,43,47,52,58,63,69,75,81,88,95,102,109,116
5,9,12,17,22,27,33,40,47,55,63,72,82,92,102,113,125,137,150,164,178,192,207,223,239
3,5,6,8,10,12,14,16,19,21,24,27,30,33,37,40,44,48,52,56,60,64,69,74,78
2,3,4,4,5,6,7,8,9,10,10,11,13,14,15,16,17,18,20,21,22,24,25,26,28
2,3,4,4,5,6,7,8,9,10,10,11,13,14,15,16,17,18,20,21,22,24,25,26,28
2,3,4,4,5,6,7,8,9,10,10,11,13,14,15,16,17,18,20,21,22,24,25,26,28
2,2,3,4,4,5,5,6,7,7,8,9,9,10,11,12,13,13,14,15,16,17,18,19,20
3,4,5,6,7,8,10,11,13,14,16,18,19,21,23,25,27,29,32,34,36,39,42,44,47
4,5,6,7,7,8,9,9,10,10,11,11,12,13,13,14,14,14,15,15,16,16,17,17,18
5,7,9,10,11,12,14,15,16,17,18,19,20,21,22,23,24,25,25,26,27,28,29,30,31
3,4,5,5,6,6,7,7,8,8,8,9,9,10,10,10,11,11,11,12,12,12,13,13,13
2,3,3,3,3,4,4,4,4,4,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6
2,3,3,3,3,4,4,4,4,4,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6
2,3,3,3,3,4,4,4,4,4,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6
2,2,2,3,3,3,3,3,3,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5
3,3,4,4,4,5,5,5,6,6,6,6,7,7,7,7,8,8,8,8,8,9,9,9,9
