8,17,26,34,43,52,60,69,78,86
3,1,1,1,1,2,1,1,2,2
4,1,2,2,2,2,2,2,2,3
4,2,2,2,3,2,3,3,3,3
5,3,3,4,4,4,5,5,6,6
4,2,2,2,2,3,2,3,3,3
4,2,6,8,10,13,15,17,19,21
3,2,2,1,2,2,2,2,2,2
4,1,2,2,2,2,2,3,2,3
6,4,4,5,5,6,6,7,7,8
6,3,4,4,5,5,5,6,7,7
4,2,1,2,2,2,3,2,3,3
4,1,2,2,2,2,2,3,2,3
2,1,0,1,0,1,1,0,1,0
7,6,6,7,8,8,10,11,12,12
6,3,4,4,5,8,12,14,16,18
3,2,2,1,2,2,2,2,2,2
4,1,2,2,2,2,2,3,2,3
6,4,4,5,5,6,6,7,7,8
6,3,4,4,5,5,5,6,7,7
4,2,1,2,2,2,3,2,3,3
4,1,2,2,2,2,2,3,2,3
2,1,0,1,0,1,1,0,1,0
7,6,6,7,8,8,10,11,12,12
6,3,4,4,5,8,12,14,16,18
3,2,1,1,2,1,2,1,2,2
3,1,1,1,1,2,1,1,2,1
3,1,1,1,1,1,2,1,1,2
4,1,2,2,1,2,2,3,2,2
4,2,3,2,3,3,3,3,4,3
3,1,1,1,1,1,2,1,1,4
16,16,21,25,30,34,39,43,48,53
2,0,1,0,0,1,0,1,0,0
8,6,7,8,9,10,24,24,24,32
4,1,2,2,1,2,2,3,2,2
4,1,2,3,5,6,7,8,9,10
6,5,4,6,6,7,7,8,9,9
4,2,2,3,2,3,3,3,3,4
3,2,1,4,5,6,7,8,9,10
27,54,81,108,135,162,189,216,244,271
3,3,6,8,10,13,15,17,19,21
7,4,5,6,6,7,8,8,10,10
4,2,6,8,10,13,15,17,19,21
13,27,40,54,67,81,94,108,122,135
4,2,6,8,10,13,15,17,19,21
6,12,18,24,30,36,42,48,54,60
6,12,18,24,30,36,42,48,54,60
9,19,29,39,49,59,69,78,88,98
4,2,6,8,10,13,15,17,19,21
4,2,2,3,2,3,3,3,4,3
5,4,3,4,4,5,5,6,9,10
5,3,4,8,10,13,15,17,19,21
4,1,2,2,1,2,2,3,2,2
3,4,7,10,12,15,18,20,23,25
3,1,2,1,1,2,1,2,2,1
5,2,3,3,3,3,4,4,4,5
5,3,3,4,3,5,4,5,5,6
2,1,1,0,1,1,0,1,1,0
4,1,2,2,2,2,2,2,3,3
8,6,7,7,9,10,12,12,13,15
4,1,2,2,1,2,2,3,2,2
4,2,2,2,2,3,2,3,3,3
5,2,3,2,4,3,4,4,4,4
3,2,2,1,2,2,2,2,2,2
4,1,2,2,2,2,2,3,2,3
6,4,4,5,5,6,6,7,7,8
6,3,4,4,5,5,5,6,7,7
4,2,1,2,2,2,3,2,3,3
4,1,2,2,2,2,2,3,2,3
2,1,0,1,0,1,1,0,1,0
7,6,6,7,8,8,10,11,12,12
6,3,4,4,5,8,12,14,16,18
5,2,3,2,4,3,4,4,4,4
40,51,69,89,107,125,145,163,182,200
4,3,2,3,2,3,4,3,4,4
6,4,4,4,6,5,7,7,7,8
4,1,2,2,2,2,3,2,3,2
2,1,1,1,1,1,1,1,1,1
2,1,1,1,1,1,1,1,1,1
2,1,1,1,1,1,1,1,1,1
2,1,1,0,1,1,0,1,1,0
3,1,2,1,1,1,2,1,2,2
4,2,1,0,1,1,1,0,1,1
6,2,2,1,1,2,1,1,1,1
4,1,0,1,1,0,1,0,1,0
2,1,0,1,0,0,0,1,0,0
2,1,0,1,0,0,0,1,0,0
2,1,0,1,0,0,0,1,0,0
2,1,0,0,0,1,0,0,0,0
3,1,0,1,0,1,0,0,0,1
